Player,span,matches,innings,balls,overs,maidens,runs,wickets,BBI,BBM,average,economy,strike rate,four wicket haul,fifer
PWH de Silva (SL),2022-2022,8,8,186,31.0,1,199,15,3/8,3/8,13.26,6.41,12.40,-,-
SM Curran (ENG),2022-2022,6,6,136,22.4,-,148,13,5/10,5/10,11.38,6.52,10.46,-,1
BFW de Leede (NED),2022-2022,8,7,132,22.0,-,169,13,3/19,3/19,13.00,7.68,10.15,-,-
B Muzarabani (ZIM),2022-2022,8,7,156,26.0,-,199,12,3/23,3/23,16.57,7.65,13.00,-,-
A Nortje (SA),2022-2022,5,5,105,17.3,-,94,11,4/10,4/10,8.53,5.37,9.54,2,-
Shaheen Shah Afridi (PAK),2022-2022,7,7,151,25.1,-,155,11,4/22,4/22,14.09,6.15,13.72,1,-
Shadab Khan (PAK),2022-2022,7,7,156,26.0,-,165,11,3/22,3/22,15.00,6.34,14.18,-,-
JB Little (IRE),2022-2022,7,7,162,27.0,-,189,11,3/22,3/22,17.18,7.00,14.72,-,-
PA van Meekeren (NED),2022-2022,8,8,186,31.0,-,198,11,3/29,3/29,18.00,6.38,16.90,-,-
Arshdeep Singh (IND),2022-2022,6,6,120,20.0,-,156,10,3/32,3/32,15.60,7.80,12.00,-,-
Sikandar Raza (ZIM),2022-2022,8,8,144,24.0,-,156,10,3/19,3/19,15.60,6.50,14.40,-,-
MA Wood (ENG),2022-2022,4,4,84,14.0,-,108,9,3/26,3/26,12.00,7.71,9.33,-,-
MJ Santner (NZ),2022-2022,5,5,120,20.0,-,129,9,3/31,3/31,14.33,6.45,13.33,-,-
R Ngarava (ZIM),2022-2022,8,8,168,28.0,1,197,9,2/18,2/18,21.88,7.03,18.66,-,-
M Theekshana (SL),2022-2022,8,8,181,30.1,-,202,9,2/15,2/15,22.44,6.69,20.11,-,-
Mohammad Wasim (PAK),2022-2022,6,6,102,17.0,-,124,8,4/24,4/24,15.50,7.29,12.75,1,-
Taskin Ahmed (BAN),2022-2022,5,5,108,18.0,1,131,8,4/25,4/25,16.37,7.27,13.50,1,-
HH Pandya (IND),2022-2022,6,6,108,18.0,-,146,8,3/30,3/30,18.25,8.11,13.50,-,-
TA Boult (NZ),2022-2022,5,5,120,20.0,-,148,8,4/13,4/13,18.50,7.40,15.00,1,-
Haris Rauf (PAK),2022-2022,7,7,156,26.0,1,178,8,2/23,2/23,22.25,6.84,19.50,-,-
FJ Klaassen (NED),2022-2022,8,8,180,30.0,-,191,8,2/13,2/13,23.87,6.36,22.50,-,-
BD Glover (NED),2022-2022,3,3,53,8.5,1,60,7,3/9,3/9,8.57,6.79,7.57,-,-
TG Southee (NZ),2022-2022,5,5,104,17.2,1,114,7,3/6,3/6,16.28,6.57,14.85,-,-
L Ngidi (SA),2022-2022,4,4,78,13.0,-,116,7,4/29,4/29,16.57,8.92,11.14,1,-
CBRLS Kumara (SL),2022-2022,6,6,121,20.1,-,153,7,2/24,2/24,21.85,7.58,17.28,-,-
LH Ferguson (NZ),2022-2022,5,5,114,19.0,-,159,7,3/22,3/22,22.71,8.36,16.28,-,-
DM de Silva (SL),2022-2022,8,6,73,12.1,-,83,6,2/24,2/24,13.83,6.82,12.16,-,-
AS Joseph (WI),2022-2022,3,3,72,12.0,-,83,6,4/16,4/16,13.83,6.91,12.00,1,-
BA Stokes (ENG),2022-2022,6,6,98,16.2,-,111,6,2/19,2/19,18.50,6.79,16.33,-,-
IS Sodhi (NZ),2022-2022,5,5,116,19.2,-,130,6,2/21,2/21,21.66,6.72,19.33,-,-
Hasan Mahmud (BAN),2022-2022,4,4,96,16.0,1,134,6,3/47,3/47,22.33,8.37,16.00,-,-
Mohammed Shami (IND),2022-2022,6,6,120,20.0,-,143,6,2/14,2/14,23.83,7.15,20.00,-,-
R Ashwin (IND),2022-2022,6,6,114,19.0,-,155,6,3/22,3/22,25.83,8.15,19.00,-,-
Shakib Al Hasan (BAN),2022-2022,5,5,114,19.0,-,167,6,2/33,2/33,27.83,8.78,19.00,-,-
GJ Delany (IRE),2022-2022,7,7,141,23.3,-,185,6,3/16,3/16,30.83,7.87,23.50,-,-
JO Holder (WI),2022-2022,3,3,62,10.2,-,49,5,3/12,3/12,9.80,4.74,12.40,-,-
Zahoor Khan (UAE),2022-2022,3,3,72,12.0,-,57,5,2/20,2/20,11.40,4.75,14.40,-,-
CJ Jordan (ENG),2022-2022,2,2,48,8.0,-,70,5,3/43,3/43,14.00,8.75,9.60,-,-
MRJ Watt (SCOT),2022-2022,3,3,72,12.0,-,70,5,3/12,3/12,14.00,5.83,14.40,-,-
KP Meiyappan (UAE),2022-2022,3,3,72,12.0,-,75,5,3/19,3/19,15.00,6.25,14.40,-,-
A Zampa (AUS),2022-2022,3,3,72,12.0,-,80,5,2/19,2/19,16.00,6.66,14.40,-,-
WD Parnell (SA),2022-2022,5,5,96,16.0,1,102,5,3/15,3/15,20.39,6.37,19.20,-,-
SC Williams (ZIM),2022-2022,8,7,108,18.0,-,111,5,2/9,2/9,22.20,6.16,21.60,-,-
JR Hazlewood (AUS),2022-2022,4,4,90,15.0,-,124,5,2/33,2/33,24.80,8.26,18.00,-,-
CR Woakes (ENG),2022-2022,6,6,120,20.0,-,172,5,2/33,2/33,34.40,8.60,24.00,-,-
BJ McCarthy (IRE),2022-2022,7,7,150,25.0,-,227,5,3/29,3/29,45.40,9.08,30.00,-,-
PVD Chameera (SL),2022-2022,2,2,47,7.5,-,54,4,3/15,3/15,13.50,6.89,11.75,-,-
T Shamsi (SA),2022-2022,2,2,48,8.0,-,56,4,3/20,3/20,14.00,7.00,12.00,-,-
BM Scholtz (NAM),2022-2022,3,3,72,12.0,-,61,4,2/18,2/18,15.25,5.08,18.00,-,-
MA Leask (SCOT),2022-2022,3,3,60,10.0,-,67,4,2/15,2/15,16.75,6.70,15.00,-,-
Rashid Khan (AFG),2022-2022,3,3,72,12.0,-,77,4,2/31,2/31,19.25,6.41,18.00,-,-
BTJ Wheal (SCOT),2022-2022,3,3,72,12.0,-,83,4,2/32,2/32,20.75,6.91,18.00,-,-
Mujeeb Ur Rahman (AFG),2022-2022,3,3,72,12.0,-,88,4,2/24,2/24,22.00,7.33,18.00,-,-
Junaid Siddique (UAE),2022-2022,3,3,72,12.0,-,95,4,3/24,3/24,23.75,7.91,18.00,-,-
B Kumar (IND),2022-2022,6,6,112,18.4,3,115,4,2/9,2/9,28.75,6.16,28.00,-,-
AU Rashid (ENG),2022-2022,6,6,144,24.0,1,147,4,2/22,2/22,36.75,6.12,36.00,-,-
TL Chatara (ZIM),2022-2022,7,7,138,23.0,1,155,4,2/14,2/14,38.75,6.73,34.50,-,-
MR Adair (IRE),2022-2022,7,7,144,24.0,-,212,4,2/39,2/39,53.00,8.83,36.00,-,-
GJ Maxwell (AUS),2022-2022,4,2,19,3.1,-,19,3,2/14,2/14,6.33,6.00,6.33,-,-
Naveen-ul-Haq (AFG),2022-2022,1,1,24,4.0,-,21,3,3/21,3/21,7.00,5.25,8.00,-,-
Basil Hameed (UAE),2022-2022,3,3,30,5.0,-,37,3,2/17,2/17,12.33,7.40,10.00,-,-
B Shikongo (NAM),2022-2022,3,3,30,5.0,1,48,3,2/22,2/22,16.00,9.60,10.00,-,-
D Wiese (NAM),2022-2022,3,3,63,10.3,-,65,3,2/16,2/16,21.66,6.19,21.00,-,-
Mohammad Nawaz (PAK),2022-2022,7,4,54,9.0,-,67,3,2/42,2/42,22.33,7.44,18.00,-,-
JN Frylinck (NAM),2022-2022,3,3,66,11.0,1,72,3,2/26,2/26,24.00,6.54,22.00,-,-
Fazalhaq Farooqi (AFG),2022-2022,3,3,69,11.3,1,75,3,2/29,2/29,25.00,6.52,23.00,-,-
Pramod Madushan (SL),2022-2022,3,3,60,10.0,-,75,3,2/37,2/37,25.00,7.50,20.00,-,-
Simi Singh (IRE),2022-2022,4,4,54,9.0,-,78,3,2/31,2/31,26.00,8.66,18.00,-,-
JJ Smit (NAM),2022-2022,3,3,66,11.0,-,79,3,2/24,2/24,26.33,7.18,22.00,-,-
KA Maharaj (SA),2022-2022,4,4,72,12.0,-,89,3,2/27,2/27,29.66,7.41,24.00,-,-
CAK Rajitha (SL),2022-2022,3,3,66,11.0,-,94,3,2/23,2/23,31.33,8.54,22.00,-,-
JH Davey (SCOT),2022-2022,3,3,60,10.0,-,96,3,2/16,2/16,32.00,9.60,20.00,-,-
LS Livingstone (ENG),2022-2022,6,5,72,12.0,-,96,3,3/17,3/17,32.00,8.00,24.00,-,-
TJG Pringle (NED),2022-2022,6,6,102,17.0,-,102,3,1/10,1/10,34.00,6.00,34.00,-,-
MA Starc (AUS),2022-2022,3,3,72,12.0,1,102,3,2/43,2/43,34.00,8.50,24.00,-,-
Mustafizur Rahman (BAN),2022-2022,5,5,120,20.0,-,112,3,2/15,2/15,37.33,5.60,40.00,-,-
AR Patel (IND),2022-2022,5,5,80,13.2,-,115,3,2/18,2/18,38.33,8.62,26.66,-,-
LV van Beek (NED),2022-2022,6,6,98,16.2,-,125,3,2/17,2/17,41.66,7.65,32.66,-,-
PJ Cummins (AUS),2022-2022,4,4,96,16.0,-,132,3,2/28,2/28,44.00,8.25,32.00,-,-
C Karunaratne (SL),2022-2022,7,6,108,18.0,-,144,3,1/20,1/20,48.00,8.00,36.00,-,-
Naseem Shah (PAK),2022-2022,7,7,156,26.0,-,162,3,1/11,1/11,54.00,6.23,52.00,-,-
Aayan Afzal Khan (UAE),2022-2022,3,3,48,8.0,-,38,2,1/15,1/15,19.00,4.75,24.00,-,-
B Evans (ZIM),2022-2022,2,2,42,7.0,-,57,2,2/25,2/25,28.50,8.14,21.00,-,-
LM Jongwe (ZIM),2022-2022,6,3,30,5.0,-,59,2,1/10,1/10,29.50,11.80,15.00,-,-
Mosaddek Hossain (BAN),2022-2022,5,3,42,7.0,-,64,2,2/34,2/34,32.00,9.14,21.00,-,-
B Fernando (SL),2022-2022,3,3,53,8.5,-,65,2,1/27,1/27,32.50,7.35,26.50,-,-
C Campher (IRE),2022-2022,7,4,48,8.0,-,74,2,2/9,2/9,37.00,9.25,24.00,-,-
RE van der Merwe (NED),2022-2022,6,6,66,11.0,-,75,2,1/6,1/6,37.50,6.81,33.00,-,-
SM Sharif (SCOT),2022-2022,3,3,54,9.0,-,78,2,1/23,1/23,39.00,8.66,27.00,-,-
OF Smith (WI),2022-2022,3,3,54,9.0,-,85,2,1/31,1/31,42.50,9.44,27.00,-,-
AJ Hosein (WI),2022-2022,3,3,72,12.0,-,94,2,1/25,1/25,47.00,7.83,36.00,-,-
K Rabada (SA),2022-2022,5,5,96,16.0,-,151,2,1/24,1/24,75.50,9.43,48.00,-,-
Afif Hossain (BAN),2022-2022,5,1,6,1.0,-,11,1,1/11,1/11,11.00,11.00,6.00,-,-
Nasum Ahmed (BAN),2022-2022,1,1,24,4.0,-,14,1,1/14,1/14,14.00,3.50,24.00,-,-
Muhammad Waseem (UAE),2022-2022,3,1,12,2.0,-,16,1,1/16,1/16,16.00,8.00,12.00,-,-
AK Markram (SA),2022-2022,5,2,18,3.0,-,21,1,1/16,1/16,21.00,7.00,18.00,-,-
Aryan Lakra (UAE),2022-2022,1,1,18,3.0,-,24,1,1/24,1/24,24.00,8.00,18.00,-,-
MD Shanaka (SL),2022-2022,8,3,19,3.1,-,24,1,1/7,1/7,24.00,7.57,19.00,-,-
AC Agar (AUS),2022-2022,1,1,24,4.0,-,25,1,1/25,1/25,25.00,6.25,24.00,-,-
Ebadot Hossain (BAN),2022-2022,1,1,19,3.1,-,25,1,1/25,1/25,25.00,7.89,19.00,-,-
